source	target	weight
OTU_1	OTU_2	0.4
OTU_1	OTU_3	0.2
OTU_1	OTU_4	0.9
OTU_1	OTU_5	0.7
OTU_1	OTU_6	0.9
OTU_1	OTU_7	0.9
OTU_1	OTU_8	0.7
OTU_1	OTU_9	0.9
OTU_1	OTU_10	0.7
OTU_1	OTU_11	0.7
OTU_1	OTU_12	1.0
OTU_1	OTU_13	0.2
OTU_1	OTU_14	0.4
OTU_1	OTU_15	0.8
OTU_1	OTU_16	0.9
OTU_1	OTU_17	0.9
OTU_1	OTU_18	0.7
OTU_1	OTU_19	0.7
OTU_1	OTU_20	0.9
OTU_2	OTU_3	-0.6
OTU_2	OTU_4	0.3
OTU_2	OTU_5	0.5
OTU_2	OTU_6	0.3
OTU_2	OTU_7	0.3
OTU_2	OTU_8	0.5
OTU_2	OTU_9	0.3
OTU_2	OTU_10	0.9
OTU_2	OTU_11	0.9
OTU_2	OTU_12	0.4
OTU_2	OTU_13	0.4
OTU_2	OTU_14	1.0
OTU_2	OTU_15	0.6
OTU_2	OTU_16	0.3
OTU_2	OTU_17	0.3
OTU_2	OTU_18	0.5
OTU_2	OTU_19	0.9
OTU_2	OTU_20	0.3
OTU_3	OTU_5	-0.3
OTU_3	OTU_6	0.5
OTU_3	OTU_8	-0.3
OTU_3	OTU_10	-0.5
OTU_3	OTU_11	-0.5
OTU_3	OTU_12	0.2
OTU_3	OTU_13	-0.2
OTU_3	OTU_14	-0.6
OTU_3	OTU_15	0.2
OTU_3	OTU_18	-0.3
OTU_3	OTU_19	-0.5
OTU_4	OTU_5	0.9
OTU_4	OTU_6	0.7
OTU_4	OTU_7	1.0
OTU_4	OTU_8	0.9
OTU_4	OTU_9	1.0
OTU_4	OTU_10	0.6
OTU_4	OTU_11	0.6
OTU_4	OTU_12	0.9
OTU_4	OTU_13	0.5
OTU_4	OTU_14	0.3
OTU_4	OTU_15	0.5
OTU_4	OTU_16	1.0
OTU_4	OTU_17	1.0
OTU_4	OTU_18	0.9
OTU_4	OTU_19	0.6
OTU_4	OTU_20	1.0
OTU_5	OTU_6	0.4
OTU_5	OTU_7	0.9
OTU_5	OTU_8	1.0
OTU_5	OTU_9	0.9
OTU_5	OTU_10	0.7
OTU_5	OTU_11	0.7
OTU_5	OTU_12	0.7
OTU_5	OTU_13	0.7
OTU_5	OTU_14	0.5
OTU_5	OTU_15	0.3
OTU_5	OTU_16	0.9
OTU_5	OTU_17	0.9
OTU_5	OTU_18	1.0
OTU_5	OTU_19	0.7
OTU_5	OTU_20	0.9
OTU_6	OTU_7	0.7
OTU_6	OTU_8	0.4
OTU_6	OTU_9	0.7
OTU_6	OTU_10	0.5
OTU_6	OTU_11	0.5
OTU_6	OTU_12	0.9
OTU_6	OTU_14	0.3
OTU_6	OTU_15	0.9
OTU_6	OTU_16	0.7
OTU_6	OTU_17	0.7
OTU_6	OTU_18	0.4
OTU_6	OTU_19	0.5
OTU_6	OTU_20	0.7
OTU_7	OTU_8	0.9
OTU_7	OTU_9	1.0
OTU_7	OTU_10	0.6
OTU_7	OTU_11	0.6
OTU_7	OTU_12	0.9
OTU_7	OTU_13	0.5
OTU_7	OTU_14	0.3
OTU_7	OTU_15	0.5
OTU_7	OTU_16	1.0
OTU_7	OTU_17	1.0
OTU_7	OTU_18	0.9
OTU_7	OTU_19	0.6
OTU_7	OTU_20	1.0
OTU_8	OTU_9	0.9
OTU_8	OTU_10	0.7
OTU_8	OTU_11	0.7
OTU_8	OTU_12	0.7
OTU_8	OTU_13	0.7
OTU_8	OTU_14	0.5
OTU_8	OTU_15	0.3
OTU_8	OTU_16	0.9
OTU_8	OTU_17	0.9
OTU_8	OTU_18	1.0
OTU_8	OTU_19	0.7
OTU_8	OTU_20	0.9
OTU_9	OTU_10	0.6
OTU_9	OTU_11	0.6
OTU_9	OTU_12	0.9
OTU_9	OTU_13	0.5
OTU_9	OTU_14	0.3
OTU_9	OTU_15	0.5
OTU_9	OTU_16	1.0
OTU_9	OTU_17	1.0
OTU_9	OTU_18	0.9
OTU_9	OTU_19	0.6
OTU_9	OTU_20	1.0
OTU_10	OTU_11	1.0
OTU_10	OTU_12	0.7
OTU_10	OTU_13	0.3
OTU_10	OTU_14	0.9
OTU_10	OTU_15	0.7
OTU_10	OTU_16	0.6
OTU_10	OTU_17	0.6
OTU_10	OTU_18	0.7
OTU_10	OTU_19	1.0
OTU_10	OTU_20	0.6
OTU_11	OTU_12	0.7
OTU_11	OTU_13	0.3
OTU_11	OTU_14	0.9
OTU_11	OTU_15	0.7
OTU_11	OTU_16	0.6
OTU_11	OTU_17	0.6
OTU_11	OTU_18	0.7
OTU_11	OTU_19	1.0
OTU_11	OTU_20	0.6
OTU_12	OTU_13	0.2
OTU_12	OTU_14	0.4
OTU_12	OTU_15	0.8
OTU_12	OTU_16	0.9
OTU_12	OTU_17	0.9
OTU_12	OTU_18	0.7
OTU_12	OTU_19	0.7
OTU_12	OTU_20	0.9
OTU_13	OTU_14	0.4
OTU_13	OTU_16	0.5
OTU_13	OTU_17	0.5
OTU_13	OTU_18	0.7
OTU_13	OTU_19	0.3
OTU_13	OTU_20	0.5
OTU_14	OTU_15	0.6
OTU_14	OTU_16	0.3
OTU_14	OTU_17	0.3
OTU_14	OTU_18	0.5
OTU_14	OTU_19	0.9
OTU_14	OTU_20	0.3
OTU_15	OTU_16	0.5
OTU_15	OTU_17	0.5
OTU_15	OTU_18	0.3
OTU_15	OTU_19	0.7
OTU_15	OTU_20	0.5
OTU_16	OTU_17	1.0
OTU_16	OTU_18	0.9
OTU_16	OTU_19	0.6
OTU_16	OTU_20	1.0
OTU_17	OTU_18	0.9
OTU_17	OTU_19	0.6
OTU_17	OTU_20	1.0
OTU_18	OTU_19	0.7
OTU_18	OTU_20	0.9
OTU_19	OTU_20	0.6
